Citizenship,Year,Region,Month,Value0
Foreigners,2014,"West, Westfjords from 2007",February,4584
Foreigners,2014,"West, Westfjords from 2007",March,6576
Foreigners,2014,"West, Westfjords from 2007",April,3574
Foreigners,2014,"West, Westfjords from 2007",May,13611
Foreigners,2014,"West, Westfjords from 2007",June,34238
Foreigners,2014,"West, Westfjords from 2007",July,53383
Foreigners,2014,"West, Westfjords from 2007",August,49276
Foreigners,2014,"West, Westfjords from 2007",September,18296
Foreigners,2014,"West, Westfjords from 2007",October,6603
Foreigners,2014,"West, Westfjords from 2007",November,3391
Foreigners,2014,"West, Westfjords from 2007",December,2325
Foreigners,2014,North,Total,310855
Foreigners,2014,North,January,3262
Foreigners,2014,North,February,5768
Foreigners,2014,North,March,6905
Foreigners,2014,North,April,8765
Foreigners,2014,North,May,18366
Foreigners,2014,North,June,53400
Foreigners,2014,North,July,87981
Foreigners,2014,North,August,76273
Foreigners,2014,North,September,27296
Foreigners,2014,North,October,11372
Foreigners,2014,North,November,4971
Foreigners,2014,North,December,6496
Foreigners,2014,East,Total,231366
Foreigners,2014,East,January,2724
Foreigners,2014,East,February,3713
Foreigners,2014,East,March,5942
Foreigners,2014,East,April,5197
Foreigners,2014,East,May,16385
Foreigners,2014,East,June,44010
Foreigners,2014,East,July,66619
Foreigners,2014,East,August,62735
Foreigners,2014,East,September,17414
Foreigners,2014,East,October,4484
Foreigners,2014,East,November,1563
Foreigners,2014,East,December,580
Foreigners,2014,South,Total,398655
Foreigners,2014,South,January,8016
Foreigners,2014,South,February,16616
Foreigners,2014,South,March,19110
Foreigners,2014,South,April,16933
Foreigners,2014,South,May,24623
Foreigners,2014,South,June,55516
Foreigners,2014,South,July,91178
Foreigners,2014,South,August,85380
Foreigners,2014,South,September,34481
Foreigners,2014,South,October,24055
Foreigners,2014,South,November,12047
Foreigners,2014,South,December,10700
Foreigners,2013,Total,Total,2374231
Foreigners,2013,Total,January,80646
Foreigners,2013,Total,February,128584
Foreigners,2013,Total,March,148831
Foreigners,2013,Total,April,117557
Foreigners,2013,Total,May,163909
Foreigners,2013,Total,June,317492
Foreigners,2013,Total,July,464509
Foreigners,2013,Total,August,402691
Foreigners,2013,Total,September,181046
Foreigners,2013,Total,October,141817
Foreigners,2013,Total,November,117921
Foreigners,2013,Total,December,109228
Foreigners,2013,Capital region,Total,1299748
Foreigners,2013,Capital region,January,65823
Foreigners,2013,Capital region,February,95848
Foreigners,2013,Capital region,March,106724
Foreigners,2013,Capital region,April,88123
Foreigners,2013,Capital region,May,99645
Foreigners,2013,Capital region,June,140512
Foreigners,2013,Capital region,July,170244
Foreigners,2013,Capital region,August,156719
Foreigners,2013,Capital region,September,96895
Foreigners,2013,Capital region,October,98593
Foreigners,2013,Capital region,November,94823
Foreigners,2013,Capital region,December,85799
Foreigners,2013,"West, Westfjords and Southwest from 2007",Total,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",January,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",February,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",March,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",April,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",May,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",June,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",July,..
Foreigners,2013,"West, Westfjords and Southwest from 2007",August,..
