Citizenship,Year,Region,Month,Value0
Czech Republic,2013,Capital region,July,381
Czech Republic,2013,Capital region,August,393
Czech Republic,2013,Capital region,September,117
Czech Republic,2013,Capital region,October,259
Czech Republic,2013,Capital region,November,60
Czech Republic,2013,Capital region,December,88
Czech Republic,2013,"West, Westfjords and Southwest from 2007",Total,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",January,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",February,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",March,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",April,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",May,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",June,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",July,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",August,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",September,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",October,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",November,..
Czech Republic,2013,"West, Westfjords and Southwest from 2007",December,..
Czech Republic,2013,Southwest,Total,518
Czech Republic,2013,Southwest,January,..
Czech Republic,2013,Southwest,February,3
Czech Republic,2013,Southwest,March,9
Czech Republic,2013,Southwest,April,22
Czech Republic,2013,Southwest,May,24
Czech Republic,2013,Southwest,June,252
Czech Republic,2013,Southwest,July,66
Czech Republic,2013,Southwest,August,118
Czech Republic,2013,Southwest,September,6
Czech Republic,2013,Southwest,October,11
Czech Republic,2013,Southwest,November,1
Czech Republic,2013,Southwest,December,6
Czech Republic,2013,"West, Westfjords from 2007",Total,465
Czech Republic,2013,"West, Westfjords from 2007",January,..
Czech Republic,2013,"West, Westfjords from 2007",February,2
Czech Republic,2013,"West, Westfjords from 2007",March,2
Czech Republic,2013,"West, Westfjords from 2007",April,36
Czech Republic,2013,"West, Westfjords from 2007",May,77
Czech Republic,2013,"West, Westfjords from 2007",June,44
Czech Republic,2013,"West, Westfjords from 2007",July,147
Czech Republic,2013,"West, Westfjords from 2007",August,46
Czech Republic,2013,"West, Westfjords from 2007",September,82
Czech Republic,2013,"West, Westfjords from 2007",October,29
Czech Republic,2013,"West, Westfjords from 2007",November,..
Czech Republic,2013,"West, Westfjords from 2007",December,..
Czech Republic,2013,North,Total,1114
Czech Republic,2013,North,January,1
Czech Republic,2013,North,February,2
Czech Republic,2013,North,March,..
Czech Republic,2013,North,April,30
Czech Republic,2013,North,May,32
Czech Republic,2013,North,June,211
Czech Republic,2013,North,July,453
Czech Republic,2013,North,August,229
Czech Republic,2013,North,September,107
Czech Republic,2013,North,October,34
Czech Republic,2013,North,November,7
Czech Republic,2013,North,December,8
Czech Republic,2013,East,Total,701
Czech Republic,2013,East,January,..
Czech Republic,2013,East,February,..
Czech Republic,2013,East,March,6
Czech Republic,2013,East,April,12
Czech Republic,2013,East,May,56
Czech Republic,2013,East,June,85
Czech Republic,2013,East,July,226
Czech Republic,2013,East,August,252
Czech Republic,2013,East,September,49
Czech Republic,2013,East,October,12
Czech Republic,2013,East,November,3
Czech Republic,2013,East,December,..
Czech Republic,2013,South,Total,1227
Czech Republic,2013,South,January,..
Czech Republic,2013,South,February,..
Czech Republic,2013,South,March,10
Czech Republic,2013,South,April,87
Czech Republic,2013,South,May,10
Czech Republic,2013,South,June,209
Czech Republic,2013,South,July,605
Czech Republic,2013,South,August,252
Czech Republic,2013,South,September,44
Czech Republic,2013,South,October,10
Czech Republic,2013,South,November,..
Czech Republic,2013,South,December,..
Slovenia,2014,Total,Total,2458
Slovenia,2014,Total,January,14
Slovenia,2014,Total,February,14
Slovenia,2014,Total,March,216
Slovenia,2014,Total,April,146
Slovenia,2014,Total,May,103
Slovenia,2014,Total,June,634
Slovenia,2014,Total,July,278
Slovenia,2014,Total,August,424
Slovenia,2014,Total,September,111
Slovenia,2014,Total,October,479
Slovenia,2014,Total,November,35
Slovenia,2014,Total,December,4
Slovenia,2014,Capital region,Total,1352
Slovenia,2014,Capital region,January,14
Slovenia,2014,Capital region,February,12
Slovenia,2014,Capital region,March,207
Slovenia,2014,Capital region,April,131
Slovenia,2014,Capital region,May,47
Slovenia,2014,Capital region,June,296
Slovenia,2014,Capital region,July,27
Slovenia,2014,Capital region,August,119
Slovenia,2014,Capital region,September,13
Slovenia,2014,Capital region,October,461
Slovenia,2014,Capital region,November,23
Slovenia,2014,Capital region,December,2
Slovenia,2014,"West, Westfjords and Southwest from 2007",Total,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",January,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",February,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",March,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",April,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",May,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",June,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",July,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",August,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",September,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",October,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",November,..
Slovenia,2014,"West, Westfjords and Southwest from 2007",December,..
Slovenia,2014,Southwest,Total,84
Slovenia,2014,Southwest,January,..
Slovenia,2014,Southwest,February,..
Slovenia,2014,Southwest,March,..
Slovenia,2014,Southwest,April,..
Slovenia,2014,Southwest,May,10
Slovenia,2014,Southwest,June,16
Slovenia,2014,Southwest,July,22
Slovenia,2014,Southwest,August,18
Slovenia,2014,Southwest,September,5
Slovenia,2014,Southwest,October,4
Slovenia,2014,Southwest,November,9
Slovenia,2014,Southwest,December,..
Slovenia,2014,"West, Westfjords from 2007",Total,64
Slovenia,2014,"West, Westfjords from 2007",January,..
Slovenia,2014,"West, Westfjords from 2007",February,2
Slovenia,2014,"West, Westfjords from 2007",March,2
Slovenia,2014,"West, Westfjords from 2007",April,..
Slovenia,2014,"West, Westfjords from 2007",May,9
Slovenia,2014,"West, Westfjords from 2007",June,11
Slovenia,2014,"West, Westfjords from 2007",July,17
Slovenia,2014,"West, Westfjords from 2007",August,21
Slovenia,2014,"West, Westfjords from 2007",September,2
Slovenia,2014,"West, Westfjords from 2007",October,..
Slovenia,2014,"West, Westfjords from 2007",November,..
Slovenia,2014,"West, Westfjords from 2007",December,..
Slovenia,2014,North,Total,575
Slovenia,2014,North,January,..
Slovenia,2014,North,February,..
Slovenia,2014,North,March,5
Slovenia,2014,North,April,7
Slovenia,2014,North,May,23
Slovenia,2014,North,June,109
Slovenia,2014,North,July,164
Slovenia,2014,North,August,187
Slovenia,2014,North,September,75
Slovenia,2014,North,October,..
Slovenia,2014,North,November,3
Slovenia,2014,North,December,2
Slovenia,2014,East,Total,109
Slovenia,2014,East,January,..
Slovenia,2014,East,February,..
Slovenia,2014,East,March,..
Slovenia,2014,East,April,..
Slovenia,2014,East,May,14
Slovenia,2014,East,June,54
Slovenia,2014,East,July,33
Slovenia,2014,East,August,6
Slovenia,2014,East,September,..
Slovenia,2014,East,October,2
Slovenia,2014,East,November,..
Slovenia,2014,East,December,..
Slovenia,2014,South,Total,274
Slovenia,2014,South,January,..
Slovenia,2014,South,February,..
Slovenia,2014,South,March,2
Slovenia,2014,South,April,8
Slovenia,2014,South,May,..
Slovenia,2014,South,June,148
Slovenia,2014,South,July,15
Slovenia,2014,South,August,73
Slovenia,2014,South,September,16
Slovenia,2014,South,October,12
Slovenia,2014,South,November,..
Slovenia,2014,South,December,..
Slovenia,2013,Total,Total,2845
Slovenia,2013,Total,January,4
Slovenia,2013,Total,February,11
Slovenia,2013,Total,March,52
Slovenia,2013,Total,April,39
Slovenia,2013,Total,May,79
Slovenia,2013,Total,June,643
Slovenia,2013,Total,July,742
Slovenia,2013,Total,August,509
Slovenia,2013,Total,September,70
Slovenia,2013,Total,October,624
Slovenia,2013,Total,November,46
Slovenia,2013,Total,December,26
Slovenia,2013,Capital region,Total,1480
Slovenia,2013,Capital region,January,4
Slovenia,2013,Capital region,February,11
Slovenia,2013,Capital region,March,42
Slovenia,2013,Capital region,April,..
Slovenia,2013,Capital region,May,53
Slovenia,2013,Capital region,June,333
Slovenia,2013,Capital region,July,140
Slovenia,2013,Capital region,August,170
Slovenia,2013,Capital region,September,53
Slovenia,2013,Capital region,October,620
Slovenia,2013,Capital region,November,38
Slovenia,2013,Capital region,December,16
Slovenia,2013,"West, Westfjords and Southwest from 2007",Total,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",January,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",February,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",March,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",April,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",May,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",June,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",July,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",August,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",September,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",October,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",November,..
Slovenia,2013,"West, Westfjords and Southwest from 2007",December,..
Slovenia,2013,Southwest,Total,24
Slovenia,2013,Southwest,January,..
Slovenia,2013,Southwest,February,..
Slovenia,2013,Southwest,March,4
Slovenia,2013,Southwest,April,..
Slovenia,2013,Southwest,May,8
Slovenia,2013,Southwest,June,..
Slovenia,2013,Southwest,July,1
Slovenia,2013,Southwest,August,7
Slovenia,2013,Southwest,September,..
Slovenia,2013,Southwest,October,2
Slovenia,2013,Southwest,November,2
Slovenia,2013,Southwest,December,..
Slovenia,2013,"West, Westfjords from 2007",Total,27
Slovenia,2013,"West, Westfjords from 2007",January,..
Slovenia,2013,"West, Westfjords from 2007",February,..
Slovenia,2013,"West, Westfjords from 2007",March,..
Slovenia,2013,"West, Westfjords from 2007",April,3
Slovenia,2013,"West, Westfjords from 2007",May,2
Slovenia,2013,"West, Westfjords from 2007",June,6
Slovenia,2013,"West, Westfjords from 2007",July,..
Slovenia,2013,"West, Westfjords from 2007",August,9
Slovenia,2013,"West, Westfjords from 2007",September,7
Slovenia,2013,"West, Westfjords from 2007",October,..
Slovenia,2013,"West, Westfjords from 2007",November,..
Slovenia,2013,"West, Westfjords from 2007",December,..
Slovenia,2013,North,Total,758
Slovenia,2013,North,January,..
Slovenia,2013,North,February,..
Slovenia,2013,North,March,..
Slovenia,2013,North,April,..
Slovenia,2013,North,May,8
Slovenia,2013,North,June,171
Slovenia,2013,North,July,349
Slovenia,2013,North,August,212
Slovenia,2013,North,September,4
Slovenia,2013,North,October,2
Slovenia,2013,North,November,4
Slovenia,2013,North,December,8
Slovenia,2013,East,Total,129
Slovenia,2013,East,January,..
Slovenia,2013,East,February,..
Slovenia,2013,East,March,4
Slovenia,2013,East,April,..
Slovenia,2013,East,May,..
Slovenia,2013,East,June,24
Slovenia,2013,East,July,78
Slovenia,2013,East,August,19
Slovenia,2013,East,September,2
Slovenia,2013,East,October,..
Slovenia,2013,East,November,2
Slovenia,2013,East,December,..
Slovenia,2013,South,Total,427
Slovenia,2013,South,January,..
Slovenia,2013,South,February,..
Slovenia,2013,South,March,2
Slovenia,2013,South,April,36
Slovenia,2013,South,May,8
Slovenia,2013,South,June,109
Slovenia,2013,South,July,174
Slovenia,2013,South,August,92
Slovenia,2013,South,September,4
Slovenia,2013,South,October,..
Slovenia,2013,South,November,..
Slovenia,2013,South,December,2
Slovakia,2014,Total,Total,2603
Slovakia,2014,Total,January,24
Slovakia,2014,Total,February,26
Slovakia,2014,Total,March,55
Slovakia,2014,Total,April,55
Slovakia,2014,Total,May,330
Slovakia,2014,Total,June,678
Slovakia,2014,Total,July,434
Slovakia,2014,Total,August,436
Slovakia,2014,Total,September,257
Slovakia,2014,Total,October,275
Slovakia,2014,Total,November,13
Slovakia,2014,Total,December,20
Slovakia,2014,Capital region,Total,2175
Slovakia,2014,Capital region,January,23
Slovakia,2014,Capital region,February,16
Slovakia,2014,Capital region,March,40
Slovakia,2014,Capital region,April,47
Slovakia,2014,Capital region,May,300
Slovakia,2014,Capital region,June,602
Slovakia,2014,Capital region,July,291
Slovakia,2014,Capital region,August,361
Slovakia,2014,Capital region,September,232
Slovakia,2014,Capital region,October,245
Slovakia,2014,Capital region,November,6
Slovakia,2014,Capital region,December,12
Slovakia,2014,"West, Westfjords and Southwest from 2007",Total,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",January,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",February,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",March,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",April,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",May,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",June,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",July,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",August,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",September,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",October,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",November,..
Slovakia,2014,"West, Westfjords and Southwest from 2007",December,..
Slovakia,2014,Southwest,Total,94
Slovakia,2014,Southwest,January,1
Slovakia,2014,Southwest,February,..
Slovakia,2014,Southwest,March,2
Slovakia,2014,Southwest,April,4
Slovakia,2014,Southwest,May,2
Slovakia,2014,Southwest,June,15
Slovakia,2014,Southwest,July,39
Slovakia,2014,Southwest,August,10
Slovakia,2014,Southwest,September,14
Slovakia,2014,Southwest,October,..
Slovakia,2014,Southwest,November,7
Slovakia,2014,Southwest,December,..
Slovakia,2014,"West, Westfjords from 2007",Total,38
Slovakia,2014,"West, Westfjords from 2007",January,..
Slovakia,2014,"West, Westfjords from 2007",February,8
Slovakia,2014,"West, Westfjords from 2007",March,1
Slovakia,2014,"West, Westfjords from 2007",April,..
Slovakia,2014,"West, Westfjords from 2007",May,9
Slovakia,2014,"West, Westfjords from 2007",June,6
Slovakia,2014,"West, Westfjords from 2007",July,8
Slovakia,2014,"West, Westfjords from 2007",August,6
Slovakia,2014,"West, Westfjords from 2007",September,..
Slovakia,2014,"West, Westfjords from 2007",October,..
Slovakia,2014,"West, Westfjords from 2007",November,..
Slovakia,2014,"West, Westfjords from 2007",December,..
Slovakia,2014,North,Total,119
Slovakia,2014,North,January,..
Slovakia,2014,North,February,..
Slovakia,2014,North,March,12
Slovakia,2014,North,April,..
Slovakia,2014,North,May,9
Slovakia,2014,North,June,22
Slovakia,2014,North,July,44
Slovakia,2014,North,August,21
Slovakia,2014,North,September,9
Slovakia,2014,North,October,2
Slovakia,2014,North,November,..
Slovakia,2014,North,December,..
Slovakia,2014,East,Total,62
Slovakia,2014,East,January,..
Slovakia,2014,East,February,..
Slovakia,2014,East,March,..
Slovakia,2014,East,April,..
Slovakia,2014,East,May,..
Slovakia,2014,East,June,2
Slovakia,2014,East,July,44
Slovakia,2014,East,August,16
Slovakia,2014,East,September,..
Slovakia,2014,East,October,..
Slovakia,2014,East,November,..
Slovakia,2014,East,December,..
Slovakia,2014,South,Total,115
Slovakia,2014,South,January,..
Slovakia,2014,South,February,2
Slovakia,2014,South,March,..
Slovakia,2014,South,April,4
Slovakia,2014,South,May,10
Slovakia,2014,South,June,31
Slovakia,2014,South,July,8
Slovakia,2014,South,August,22
Slovakia,2014,South,September,2
Slovakia,2014,South,October,28
Slovakia,2014,South,November,..
Slovakia,2014,South,December,8
Slovakia,2013,Total,Total,1733
Slovakia,2013,Total,January,24
Slovakia,2013,Total,February,62
Slovakia,2013,Total,March,41
Slovakia,2013,Total,April,61
Slovakia,2013,Total,May,302
Slovakia,2013,Total,June,222
Slovakia,2013,Total,July,254
Slovakia,2013,Total,August,287
Slovakia,2013,Total,September,102
Slovakia,2013,Total,October,234
Slovakia,2013,Total,November,31
Slovakia,2013,Total,December,113
Slovakia,2013,Capital region,Total,1233
Slovakia,2013,Capital region,January,24
Slovakia,2013,Capital region,February,22
Slovakia,2013,Capital region,March,23
Slovakia,2013,Capital region,April,28
Slovakia,2013,Capital region,May,293
Slovakia,2013,Capital region,June,107
Slovakia,2013,Capital region,July,141
Slovakia,2013,Capital region,August,205
Slovakia,2013,Capital region,September,53
Slovakia,2013,Capital region,October,208
Slovakia,2013,Capital region,November,16
Slovakia,2013,Capital region,December,113
Slovakia,2013,"West, Westfjords and Southwest from 2007",Total,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",January,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",February,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",March,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",April,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",May,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",June,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",July,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",August,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",September,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",October,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",November,..
Slovakia,2013,"West, Westfjords and Southwest from 2007",December,..
Slovakia,2013,Southwest,Total,62
Slovakia,2013,Southwest,January,..
Slovakia,2013,Southwest,February,..
Slovakia,2013,Southwest,March,..
Slovakia,2013,Southwest,April,..
Slovakia,2013,Southwest,May,5
Slovakia,2013,Southwest,June,14
Slovakia,2013,Southwest,July,15
Slovakia,2013,Southwest,August,..
Slovakia,2013,Southwest,September,14
Slovakia,2013,Southwest,October,..
Slovakia,2013,Southwest,November,14
Slovakia,2013,Southwest,December,..
Slovakia,2013,"West, Westfjords from 2007",Total,74
Slovakia,2013,"West, Westfjords from 2007",January,..
Slovakia,2013,"West, Westfjords from 2007",February,..
Slovakia,2013,"West, Westfjords from 2007",March,..
Slovakia,2013,"West, Westfjords from 2007",April,..
Slovakia,2013,"West, Westfjords from 2007",May,..
Slovakia,2013,"West, Westfjords from 2007",June,14
Slovakia,2013,"West, Westfjords from 2007",July,9
Slovakia,2013,"West, Westfjords from 2007",August,21
Slovakia,2013,"West, Westfjords from 2007",September,4
Slovakia,2013,"West, Westfjords from 2007",October,26
Slovakia,2013,"West, Westfjords from 2007",November,..
Slovakia,2013,"West, Westfjords from 2007",December,..
Slovakia,2013,North,Total,194
Slovakia,2013,North,January,..
Slovakia,2013,North,February,..
Slovakia,2013,North,March,3
Slovakia,2013,North,April,33
Slovakia,2013,North,May,..
Slovakia,2013,North,June,75
Slovakia,2013,North,July,40
Slovakia,2013,North,August,16
Slovakia,2013,North,September,26
Slovakia,2013,North,October,..
Slovakia,2013,North,November,1
Slovakia,2013,North,December,..
Slovakia,2013,East,Total,117
Slovakia,2013,East,January,..
Slovakia,2013,East,February,32
Slovakia,2013,East,March,15
Slovakia,2013,East,April,..
Slovakia,2013,East,May,4
Slovakia,2013,East,June,7
Slovakia,2013,East,July,20
Slovakia,2013,East,August,39
Slovakia,2013,East,September,..
Slovakia,2013,East,October,..
Slovakia,2013,East,November,..
Slovakia,2013,East,December,..
Slovakia,2013,South,Total,53
Slovakia,2013,South,January,..
Slovakia,2013,South,February,8
Slovakia,2013,South,March,..
Slovakia,2013,South,April,..
Slovakia,2013,South,May,..
Slovakia,2013,South,June,5
Slovakia,2013,South,July,29
Slovakia,2013,South,August,6
Slovakia,2013,South,September,5
Slovakia,2013,South,October,..
Slovakia,2013,South,November,..
Slovakia,2013,South,December,..
Russia,2014,Total,Total,25034
Russia,2014,Total,January,1526
Russia,2014,Total,February,765
Russia,2014,Total,March,865
Russia,2014,Total,April,902
Russia,2014,Total,May,1617
Russia,2014,Total,June,3061
Russia,2014,Total,July,5384
Russia,2014,Total,August,5340
Russia,2014,Total,September,2025
Russia,2014,Total,October,1165
Russia,2014,Total,November,1820
Russia,2014,Total,December,564
Russia,2014,Capital region,Total,13164
Russia,2014,Capital region,January,1249
Russia,2014,Capital region,February,481
Russia,2014,Capital region,March,644
Russia,2014,Capital region,April,757
Russia,2014,Capital region,May,843
Russia,2014,Capital region,June,1477
Russia,2014,Capital region,July,2361
Russia,2014,Capital region,August,2249
Russia,2014,Capital region,September,1213
Russia,2014,Capital region,October,622
Russia,2014,Capital region,November,833
Russia,2014,Capital region,December,435
Russia,2014,"West, Westfjords and Southwest from 2007",Total,..
Russia,2014,"West, Westfjords and Southwest from 2007",January,..
Russia,2014,"West, Westfjords and Southwest from 2007",February,..
Russia,2014,"West, Westfjords and Southwest from 2007",March,..
Russia,2014,"West, Westfjords and Southwest from 2007",April,..
Russia,2014,"West, Westfjords and Southwest from 2007",May,..
Russia,2014,"West, Westfjords and Southwest from 2007",June,..
Russia,2014,"West, Westfjords and Southwest from 2007",July,..
Russia,2014,"West, Westfjords and Southwest from 2007",August,..
Russia,2014,"West, Westfjords and Southwest from 2007",September,..
Russia,2014,"West, Westfjords and Southwest from 2007",October,..
Russia,2014,"West, Westfjords and Southwest from 2007",November,..
Russia,2014,"West, Westfjords and Southwest from 2007",December,..
Russia,2014,Southwest,Total,2818
Russia,2014,Southwest,January,111
Russia,2014,Southwest,February,144
Russia,2014,Southwest,March,145
Russia,2014,Southwest,April,33
Russia,2014,Southwest,May,193
Russia,2014,Southwest,June,349
Russia,2014,Southwest,July,259
Russia,2014,Southwest,August,337
Russia,2014,Southwest,September,216
Russia,2014,Southwest,October,106
Russia,2014,Southwest,November,873
Russia,2014,Southwest,December,52
Russia,2014,"West, Westfjords from 2007",Total,978
Russia,2014,"West, Westfjords from 2007",January,14
Russia,2014,"West, Westfjords from 2007",February,25
Russia,2014,"West, Westfjords from 2007",March,8
Russia,2014,"West, Westfjords from 2007",April,8
Russia,2014,"West, Westfjords from 2007",May,97
Russia,2014,"West, Westfjords from 2007",June,75
Russia,2014,"West, Westfjords from 2007",July,405
Russia,2014,"West, Westfjords from 2007",August,238
Russia,2014,"West, Westfjords from 2007",September,32
Russia,2014,"West, Westfjords from 2007",October,70
Russia,2014,"West, Westfjords from 2007",November,4
Russia,2014,"West, Westfjords from 2007",December,2
Russia,2014,North,Total,2680
Russia,2014,North,January,52
Russia,2014,North,February,47
Russia,2014,North,March,17
Russia,2014,North,April,26
Russia,2014,North,May,145
Russia,2014,North,June,476
Russia,2014,North,July,724
Russia,2014,North,August,815
Russia,2014,North,September,204
Russia,2014,North,October,87
Russia,2014,North,November,65
Russia,2014,North,December,22
Russia,2014,East,Total,1728
Russia,2014,East,January,37
Russia,2014,East,February,7
Russia,2014,East,March,14
Russia,2014,East,April,35
Russia,2014,East,May,110
Russia,2014,East,June,280
Russia,2014,East,July,526
Russia,2014,East,August,501
Russia,2014,East,September,152
Russia,2014,East,October,46
Russia,2014,East,November,18
Russia,2014,East,December,2
Russia,2014,South,Total,3666
Russia,2014,South,January,63
Russia,2014,South,February,61
Russia,2014,South,March,37
Russia,2014,South,April,43
Russia,2014,South,May,229
Russia,2014,South,June,404
Russia,2014,South,July,1109
Russia,2014,South,August,1200
Russia,2014,South,September,208
Russia,2014,South,October,234
Russia,2014,South,November,27
Russia,2014,South,December,51
Russia,2013,Total,Total,25289
Russia,2013,Total,January,1720
Russia,2013,Total,February,1146
Russia,2013,Total,March,1295
Russia,2013,Total,April,831
Russia,2013,Total,May,2102
Russia,2013,Total,June,2662
Russia,2013,Total,July,5735
Russia,2013,Total,August,4756
Russia,2013,Total,September,1653
Russia,2013,Total,October,920
Russia,2013,Total,November,913
Russia,2013,Total,December,1556
Russia,2013,Capital region,Total,13919
Russia,2013,Capital region,January,1535
Russia,2013,Capital region,February,661
Russia,2013,Capital region,March,1008
Russia,2013,Capital region,April,578
Russia,2013,Capital region,May,1442
Russia,2013,Capital region,June,1585
Russia,2013,Capital region,July,2282
Russia,2013,Capital region,August,2103
Russia,2013,Capital region,September,939
Russia,2013,Capital region,October,530
Russia,2013,Capital region,November,683
Russia,2013,Capital region,December,573
Russia,2013,"West, Westfjords and Southwest from 2007",Total,..
Russia,2013,"West, Westfjords and Southwest from 2007",January,..
Russia,2013,"West, Westfjords and Southwest from 2007",February,..
Russia,2013,"West, Westfjords and Southwest from 2007",March,..
Russia,2013,"West, Westfjords and Southwest from 2007",April,..
Russia,2013,"West, Westfjords and Southwest from 2007",May,..
Russia,2013,"West, Westfjords and Southwest from 2007",June,..
Russia,2013,"West, Westfjords and Southwest from 2007",July,..
Russia,2013,"West, Westfjords and Southwest from 2007",August,..
Russia,2013,"West, Westfjords and Southwest from 2007",September,..
Russia,2013,"West, Westfjords and Southwest from 2007",October,..
Russia,2013,"West, Westfjords and Southwest from 2007",November,..
Russia,2013,"West, Westfjords and Southwest from 2007",December,..
Russia,2013,Southwest,Total,3867
Russia,2013,Southwest,January,109
Russia,2013,Southwest,February,140
Russia,2013,Southwest,March,45
Russia,2013,Southwest,April,66
Russia,2013,Southwest,May,99
Russia,2013,Southwest,June,128
Russia,2013,Southwest,July,1356
Russia,2013,Southwest,August,590
Russia,2013,Southwest,September,125
Russia,2013,Southwest,October,184
Russia,2013,Southwest,November,149
Russia,2013,Southwest,December,876
Russia,2013,"West, Westfjords from 2007",Total,855
Russia,2013,"West, Westfjords from 2007",January,2
Russia,2013,"West, Westfjords from 2007",February,8
Russia,2013,"West, Westfjords from 2007",March,5
Russia,2013,"West, Westfjords from 2007",April,3
Russia,2013,"West, Westfjords from 2007",May,72
Russia,2013,"West, Westfjords from 2007",June,130
Russia,2013,"West, Westfjords from 2007",July,204
Russia,2013,"West, Westfjords from 2007",August,310
Russia,2013,"West, Westfjords from 2007",September,96
Russia,2013,"West, Westfjords from 2007",October,9
Russia,2013,"West, Westfjords from 2007",November,7
Russia,2013,"West, Westfjords from 2007",December,9
Russia,2013,North,Total,2262
Russia,2013,North,January,13
Russia,2013,North,February,13
Russia,2013,North,March,48
Russia,2013,North,April,29
Russia,2013,North,May,178
Russia,2013,North,June,289
Russia,2013,North,July,700
Russia,2013,North,August,553
Russia,2013,North,September,218
Russia,2013,North,October,163
Russia,2013,North,November,28
Russia,2013,North,December,30
Russia,2013,East,Total,1530
Russia,2013,East,January,23
Russia,2013,East,February,..
Russia,2013,East,March,64
Russia,2013,East,April,25
Russia,2013,East,May,143
Russia,2013,East,June,231
Russia,2013,East,July,463
Russia,2013,East,August,396
Russia,2013,East,September,144
Russia,2013,East,October,8
Russia,2013,East,November,21
Russia,2013,East,December,12
Russia,2013,South,Total,2856
Russia,2013,South,January,38
Russia,2013,South,February,324
Russia,2013,South,March,125
Russia,2013,South,April,130
Russia,2013,South,May,168
Russia,2013,South,June,299
Russia,2013,South,July,730
Russia,2013,South,August,804
Russia,2013,South,September,131
Russia,2013,South,October,26
Russia,2013,South,November,25
Russia,2013,South,December,56
Poland,2014,Total,Total,10912
Poland,2014,Total,January,381
Poland,2014,Total,February,311
Poland,2014,Total,March,356
Poland,2014,Total,April,213
Poland,2014,Total,May,1598
Poland,2014,Total,June,1831
Poland,2014,Total,July,2513
Poland,2014,Total,August,1632
Poland,2014,Total,September,919
Poland,2014,Total,October,432
Poland,2014,Total,November,503
Poland,2014,Total,December,223
Poland,2014,Capital region,Total,5746
Poland,2014,Capital region,January,351
Poland,2014,Capital region,February,248
Poland,2014,Capital region,March,310
Poland,2014,Capital region,April,149
Poland,2014,Capital region,May,1100
Poland,2014,Capital region,June,721
Poland,2014,Capital region,July,808
Poland,2014,Capital region,August,611
Poland,2014,Capital region,September,564
Poland,2014,Capital region,October,321
Poland,2014,Capital region,November,392
Poland,2014,Capital region,December,171
Poland,2014,"West, Westfjords and Southwest from 2007",Total,..
Poland,2014,"West, Westfjords and Southwest from 2007",January,..
Poland,2014,"West, Westfjords and Southwest from 2007",February,..
Poland,2014,"West, Westfjords and Southwest from 2007",March,..
