Þjóðerni,Ár,Landsvæði,Mánuður,Value0
Ísland,2014,Allt landið,Október,33255
Ísland,2014,Allt landið,Nóvember,26871
Ísland,2014,Allt landið,Desember,21400
Ísland,2014,Höfuðborgarsvæði,Allir,184908
Ísland,2014,Höfuðborgarsvæði,Janúar,13584
Ísland,2014,Höfuðborgarsvæði,Febrúar,15129
Ísland,2014,Höfuðborgarsvæði,Mars,19740
Ísland,2014,Höfuðborgarsvæði,Apríl,18128
Ísland,2014,Höfuðborgarsvæði,Maí,20499
Ísland,2014,Höfuðborgarsvæði,Júní,12726
Ísland,2014,Höfuðborgarsvæði,Júlí,12980
Ísland,2014,Höfuðborgarsvæði,Ágúst,12767
Ísland,2014,Höfuðborgarsvæði,September,15891
Ísland,2014,Höfuðborgarsvæði,Október,15792
Ísland,2014,Höfuðborgarsvæði,Nóvember,13867
Ísland,2014,Höfuðborgarsvæði,Desember,13805
Ísland,2014,Suðurnes,Allir,19319
Ísland,2014,Suðurnes,Janúar,946
Ísland,2014,Suðurnes,Febrúar,1071
Ísland,2014,Suðurnes,Mars,1670
Ísland,2014,Suðurnes,Apríl,1594
Ísland,2014,Suðurnes,Maí,2055
Ísland,2014,Suðurnes,Júní,1643
Ísland,2014,Suðurnes,Júlí,1690
Ísland,2014,Suðurnes,Ágúst,2196
Ísland,2014,Suðurnes,September,1666
Ísland,2014,Suðurnes,Október,2194
Ísland,2014,Suðurnes,Nóvember,767
Ísland,2014,Suðurnes,Desember,1827
Ísland,2014,"Vesturland, Vestfirðir",Allir,27168
Ísland,2014,"Vesturland, Vestfirðir",Janúar,911
Ísland,2014,"Vesturland, Vestfirðir",Febrúar,1235
Ísland,2014,"Vesturland, Vestfirðir",Mars,1860
Ísland,2014,"Vesturland, Vestfirðir",Apríl,2143
Ísland,2014,"Vesturland, Vestfirðir",Maí,3008
Ísland,2014,"Vesturland, Vestfirðir",Júní,2812
Ísland,2014,"Vesturland, Vestfirðir",Júlí,2756
Ísland,2014,"Vesturland, Vestfirðir",Ágúst,3225
Ísland,2014,"Vesturland, Vestfirðir",September,3593
Ísland,2014,"Vesturland, Vestfirðir",Október,2545
Ísland,2014,"Vesturland, Vestfirðir",Nóvember,2306
Ísland,2014,"Vesturland, Vestfirðir",Desember,774
Ísland,2014,Norðurland,Allir,46257
Ísland,2014,Norðurland,Janúar,2199
Ísland,2014,Norðurland,Febrúar,4257
Ísland,2014,Norðurland,Mars,4376
Ísland,2014,Norðurland,Apríl,5743
Ísland,2014,Norðurland,Maí,3785
Ísland,2014,Norðurland,Júní,2953
Ísland,2014,Norðurland,Júlí,2511
Ísland,2014,Norðurland,Ágúst,2843
Ísland,2014,Norðurland,September,5817
Ísland,2014,Norðurland,Október,6615
Ísland,2014,Norðurland,Nóvember,3464
Ísland,2014,Norðurland,Desember,1694
Ísland,2014,Austurland,Allir,12231
Ísland,2014,Austurland,Janúar,608
Ísland,2014,Austurland,Febrúar,742
Ísland,2014,Austurland,Mars,955
Ísland,2014,Austurland,Apríl,766
Ísland,2014,Austurland,Maí,1392
Ísland,2014,Austurland,Júní,1187
Ísland,2014,Austurland,Júlí,1131
Ísland,2014,Austurland,Ágúst,1156
Ísland,2014,Austurland,September,1479
Ísland,2014,Austurland,Október,1176
Ísland,2014,Austurland,Nóvember,1213
Ísland,2014,Austurland,Desember,426
Ísland,2014,Suðurland,Allir,49285
Ísland,2014,Suðurland,Janúar,1675
Ísland,2014,Suðurland,Febrúar,2477
Ísland,2014,Suðurland,Mars,3990
Ísland,2014,Suðurland,Apríl,4561
Ísland,2014,Suðurland,Maí,5099
Ísland,2014,Suðurland,Júní,4428
Ísland,2014,Suðurland,Júlí,4649
Ísland,2014,Suðurland,Ágúst,4683
Ísland,2014,Suðurland,September,4662
Ísland,2014,Suðurland,Október,4933
Ísland,2014,Suðurland,Nóvember,5254
Ísland,2014,Suðurland,Desember,2874
Útlendingar,2015,Allt landið,Allir,1409391
Útlendingar,2015,Allt landið,Janúar,140207
Útlendingar,2015,Allt landið,Febrúar,169998
Útlendingar,2015,Allt landið,Mars,187076
Útlendingar,2015,Allt landið,Apríl,144791
Útlendingar,2015,Allt landið,Maí,185087
Útlendingar,2015,Allt landið,Júní,255491
Útlendingar,2015,Allt landið,Júlí,326741
Útlendingar,2015,Höfuðborgarsvæði,Allir,951125
Útlendingar,2015,Höfuðborgarsvæði,Janúar,114387
Útlendingar,2015,Höfuðborgarsvæði,Febrúar,131638
Útlendingar,2015,Höfuðborgarsvæði,Mars,141588
Útlendingar,2015,Höfuðborgarsvæði,Apríl,109946
Útlendingar,2015,Höfuðborgarsvæði,Maí,125538
Útlendingar,2015,Höfuðborgarsvæði,Júní,147050
Útlendingar,2015,Höfuðborgarsvæði,Júlí,180978
Útlendingar,2015,Suðurnes,Allir,64192
Útlendingar,2015,Suðurnes,Janúar,5225
